url,price,title
https://www.olx.com.pk/item/batman-arkham-knight-reg-all-IDWHE8b.html,"Rs 2,000",Batman arkham knight reg.all
https://www.olx.com.pk/item/resident-evil-7-IDWHEb5.html,"Rs 3,000",Resident evil 7
https://www.olx.com.pk/item/ps3-160gb-with-3-games-IDWBdUl.html,"Rs 17,000",Ps3 160GB with 3 games
https://www.olx.com.pk/item/xbox-360-250-gb-in-best-condition-IDWHEf7.html,"Rs 18,000",Xbox 360 250 GB in best condition.
https://www.olx.com.pk/item/woofer-kenwood-hai-IDWHEc5.html,"Rs 7,000",Woofer Kenwood hai
https://www.olx.com.pk/item/xbox-360-kinector-IDWHEkl.html,"Rs 10,000",Xbox 360 Kinector
https://www.olx.com.pk/item/exchange-possible-ps3-games-IDWHEio.html,Rs 100,Exchange possible ps3 games
https://www.olx.com.pk/item/google-play-gift-card-codes-us-region-IDWHEfK.html,"Rs 1,350",Google Play Gift Card Codes - US region
https://www.olx.com.pk/item/sonyplaystation-3-with-3-games-and-2-remotes-IDWBe1k.html,"Rs 17,000",SONY®playstation ®3 with 3 games and 2 Remotes
https://www.olx.com.pk/item/cod-ww2-nd-assassin-syndicate-original-brand-new-games-of-xbox-one-IDWHEp1.html,"Rs 9,000",Cod ww2 nd assassin syndicate original brand new games of Xbox one
https://www.olx.com.pk/item/madcatz-original-nintendo-wii-steering-wheel-IDWxkTd.html,"Rs 1,500",MadCatz Original Nintendo Wii Steering wheel
https://www.olx.com.pk/item/original-dvd-of-nintendo-wii-gt-pro-racing-IDWpqWI.html,"Rs 1,200",Original Dvd Of Nintendo Wii (GT Pro Racing)
https://www.olx.com.pk/item/i-am-selling-nintendo-wii-balance-board-IDWxo5P.html,"Rs 2,200",I am selling Nintendo Wii Balance board
https://www.olx.com.pk/item/marshmallow-is-designed-for-comfort-earphone-IDTVXtw.html,Rs 700,Marshmallow is designed for comfort earphone
